"Title","Measures - Aug 19, 2024 to Aug 20, 2024"
"Portfolio Name","Return StackedTM Bonds & Managed Futures ETF"
"Portfolio Code","196411"
"Analysis Name","DARXF"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/21/2024 1:26:16 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"iShares Core U.S. Aggregate Bond ETF","15.843087","14.953059","18.371435","14.195851","14.034097","3.756274","2.972291","1.512983","3.567373","4.576368","49.827545","46730666.79"
"JPN YEN CURR FUT  Sep24","-0.600903","-0.159213","-0.855672","-0.551173","-0.9047","2.570786","0.571062","1.271576","2.499303","5.323353","-2.761375","-2589750"
"LONG GILT FUTURE  Sep24","21.995676","26.699644","17.733118","18.418428","23.338226","17.827997","18.143223","4.992567","15.822947","26.016693","14.575442","13673285.91"
"Low Su Gasoil G   Sep24","-0.249466","-0.147556","0.011847","-0.464129","-0.385988","3.994158","1.980674","-0.065884","7.876296","8.499757","-0.737859","-692000"
"NASDAQ 100 E-MINI Sep24","2.713596","2.193105","2.48226","1.988306","2.185801","9.485736","6.427307","3.014025","7.366798","10.508858","3.379567","3169520"
"NATURAL GAS FUTR  Sep24","-1.794437","-2.83399","1.350395","3.904934","2.014487","8.955679","11.858028","-2.341017","-20.656353","-13.827827","-2.3671","-2219980"
"NIKKEI 225  (CME) Sep24","0.300275","0.236304","0.088843","0.055237","-0.027942","4.425242","2.919657","0.454792","0.862813","-0.566352","0.801622","751800"
"NY Harb ULSD Fut  Sep24","-0.663512","-0.498032","0.191862","-0.338785","-0.342122","6.444877","4.05571","-0.647333","3.487864","4.570527","-1.216245","-1140652.8"
"OTHER_NET_ASSETS","0","0","0","0","0","0","0","0","0","0","9.187122","8616124.81"
"S&P/TSX 60 IX FUT Sep24","2.195962","2.150216","1.532896","1.28931","1.578797","9.233489","7.579961","2.238862","5.74603","9.130325","2.809609","2636340.29"
"S&P500 EMINI FUT  Sep24","10.039859","8.127231","7.944293","6.439297","7.078751","8.247433","5.597287","2.266836","5.606596","7.997732","14.381221","13487400"
"SILVER FUTURE     Sep24","1.928248","1.249797","1.635194","2.521975","2.006692","12.062283","6.554656","3.553116","16.721567","17.264984","1.888515","1771140"
"US 10YR NOTE (CBT)Sep24","14.735565","13.398925","15.401581","16.576967","16.474007","7.297684","5.563294","2.649459","8.701476","11.221128","23.85441","22371812.5"
"US 2YR NOTE (CBT) Sep24","-19.101858","-16.514061","-21.040388","-24.463022","-22.69385","1.677453","1.215828","0.641803","2.276954","2.740954","-134.5279","-126166726.88"
"US 5YR NOTE (CBT) Sep24","43.670597","40.52358","47.35822","53.406727","51.71962","4.6082","3.585037","1.735846","5.973209","7.506137","111.95534","104997093.75"
"US LONG BOND(CBT) Sep24","-10.694633","-9.207508","-11.545664","-10.862312","-11.969881","11.860959","8.561301","4.447813","12.768674","18.258404","-10.652045","-9990000"
"WTI CRUDE FUTURE  Oct24","0.220641","0.216445","-0.034281","-0.064991","0.146828","5.568292","4.579578","-0.300511","-1.738426","5.096379","0.468114","439020"
