"Title","Measures - Aug 15, 2024 to Aug 16, 2024"
"Portfolio Name","Return StackedTM Bonds & Managed Futures ETF"
"Portfolio Code","196411"
"Analysis Name","DARXF"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/19/2024 9:44:48 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"iShares Core U.S. Aggregate Bond ETF","15.950499","16.490967","19.364895","14.567839","14.532685","3.653891","3.309142","1.563503","3.784637","4.661782","49.98953","46530369.52"
"JPN YEN CURR FUT  Sep24","-0.344119","-0.360636","-0.516193","-0.470776","-0.555064","2.538015","2.329932","1.341838","3.937748","5.732634","-1.552652","-1445212.5"
"LONG GILT FUTURE  Sep24","15.348316","16.769567","13.825199","19.07331","17.749365","15.376031","14.716122","4.881544","21.66992","24.899529","11.430805","10683962.87"
"Low Su Gasoil G   Sep24","0.02978","0.340683","0.098374","-0.027393","-0.222931","-0.27612","-2.767","-0.32148","0.288043","2.894454","-1.235063","-1149600"
"NASDAQ 100 E-MINI Sep24","1.640838","-0.390229","1.610114","1.218023","1.5143","7.433937","-1.548676","2.57106","6.258297","9.607044","2.527594","2352690"
"NATURAL GAS FUTR  Sep24","-1.549331","-2.153864","1.675216","4.317757","2.091442","7.071627","8.611552","-2.694936","-22.350182","-13.367362","-2.508911","-2335300"
"NIKKEI 225  (CME) Sep24","-0.073124","-0.088259","-0.010766","0.026013","0.013329","4.135472","4.372316","0.214603","-1.668438","-1.055533","-0.202487","-188475"
"NY Harb ULSD Fut  Sep24","-0.507015","-0.329275","0.329399","-0.550826","-0.058122","3.453473","1.964634","-0.790788","4.254978","0.554375","-1.681223","-1564886.4"
"OTHER_NET_ASSETS","0","0","0","0","0","0","0","0","0","0","9.654965","8986864.25"
"S&P/TSX 60 IX FUT Sep24","1.142253","0.153041","0.98129","0.626443","0.907532","6.047884","0.709802","1.831222","3.761579","6.728646","2.162814","2018007.51"
"S&P500 EMINI FUT  Sep24","7.056158","-1.307786","6.031422","4.022003","5.202083","6.271186","-1.018136","1.889311","4.053886","6.47416","12.884838","11993237.5"
"SILVER FUTURE     Sep24","2.463598","1.670016","2.220713","2.782985","2.162821","10.708731","6.358822","3.402224","13.719134","13.164779","2.634464","2452165"
"US 10YR NOTE (CBT)Sep24","19.406906","25.430569","17.622572","19.799656","19.003622","8.921166","10.240223","2.855203","10.322164","12.232818","24.91122","23187421.87"
"US 2YR NOTE (CBT) Sep24","-21.524643","-33.887577","-18.912825","-25.724976","-22.698652","2.30779","3.18265","0.714692","3.127974","3.407888","-106.80707","-99416265.38"
"US 5YR NOTE (CBT) Sep24","57.345963","78.48411","52.221165","61.261673","59.437668","5.866711","7.03334","1.882958","7.107689","8.514878","111.93567","104189984.86"
"US DOLLARS","0","0","0","0","0","0","0","0","0","0","0.000475","442.49"
"US LONG BOND(CBT) Sep24","-7.807731","-9.921618","-7.381887","-7.66496","-7.475849","14.315911","15.935463","4.7705","15.93866","19.194618","-6.245485","-5813312.5"
"WTI CRUDE FUTURE  Oct24","0.019493","-0.18678","-0.090899","0.034036","0.019815","0.305609","-2.565167","-0.502295","0.605175","0.435034","0.730402","679860"
